days,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PERU,PIURA,PUNO,SAN MARTIN,TACNA,TUMBES,UCAYALI,cada cuatro dias,cada dia,cada dos dias,cada semana,cada tres dias
10,51.0,5.0,5.0,7.0,5.0,6.0,10.0,6.0,7.0,2.0,2.0,13.0,6.0,12.0,70.0,23.0,1.0,16.0,5.0,86.0,19.0,2.0,3.0,9.0,16.0,120.0,5.656854249492378,1024.0,32.00000000000002,2.69180038526471,10.079368399158987
11,51.0,6.0,10.0,9.0,7.0,6.0,15.0,6.0,9.0,2.0,2.0,17.0,9.0,12.0,96.0,27.0,1.0,21.0,5.0,117.0,20.0,5.0,5.0,9.0,20.0,149.0,6.727171322029714,2048.0,45.25483399593907,2.971988578273894,12.699208415745598
12,55.0,6.0,20.0,10.0,9.0,6.0,17.0,10.0,10.0,2.0,2.0,17.0,9.0,13.0,111.0,52.0,1.0,24.0,5.0,145.0,20.0,8.0,6.0,9.0,26.0,172.0,7.9999999999999964,4096.0,64.00000000000006,3.2813414240305487,16.000000000000004
13,58.0,6.0,22.0,15.0,13.0,6.0,18.0,10.0,10.0,2.0,3.0,17.0,10.0,15.0,193.0,53.0,1.0,28.0,5.0,234.0,20.0,8.0,6.0,9.0,26.0,210.0,9.513656920021765,8192.0,90.50966799187816,3.622894657055623,20.158736798317975
14,60.0,6.0,32.0,15.0,11.0,10.0,29.0,10.0,11.0,4.0,3.0,19.0,13.0,22.0,212.0,58.0,1.0,30.0,8.0,263.0,21.0,11.0,6.0,9.0,27.0,226.0,11.313708498984756,16384.0,128.0000000000001,3.9999999999999956,25.3984168314912
15,64.0,11.0,35.0,15.0,11.0,11.0,24.0,11.0,11.0,4.0,4.0,25.0,15.0,22.0,241.0,66.0,1.0,30.0,9.0,318.0,21.0,15.0,6.0,9.0,27.0,323.0,13.454342644059427,32768.0,181.01933598375635,4.416358054695245,32.00000000000001
16,65.0,11.0,35.0,15.0,15.0,11.0,25.0,17.0,17.0,4.0,5.0,25.0,19.0,30.0,278.0,72.0,2.0,41.0,11.0,363.0,21.0,33.0,8.0,9.0,27.0,349.0,15.999999999999991,65536.0,256.0000000000003,4.876054616817895,40.317473596635956
17,67.0,15.0,40.0,21.0,22.0,11.0,37.0,25.0,18.0,4.0,5.0,28.0,32.0,34.0,307.0,84.0,2.0,48.0,11.0,395.0,26.0,34.0,8.0,10.0,27.0,370.0,19.027313840043526,131072.0,362.03867196751276,5.3836007705294175,50.7968336629824
18,78.0,15.0,42.0,26.0,23.0,11.0,40.0,26.0,20.0,6.0,5.0,28.0,34.0,37.0,322.0,106.0,2.0,52.0,11.0,416.0,27.0,65.0,8.0,14.0,68.0,454.0,22.627416997969508,262144.0,512.0000000000007,5.943977156547786,64.00000000000003
19,84.0,18.0,46.0,30.0,23.0,11.0,59.0,34.0,21.0,6.0,8.0,42.0,44.0,35.0,369.0,143.0,2.0,57.0,11.0,480.0,27.0,69.0,8.0,20.0,69.0,526.0,26.90868528811885,524288.0,724.0773439350256,6.562682848061094,80.63494719327191
